season,celebrity_name,season_start,season_end,geo,anchor,season_ratio_mean,season_ratio_max,season_ratio_std,baseline_ratio_mean,baseline_ratio_max,baseline_ratio_std,lift_mean_ratio
3,Harry Hamlin,2006-09-12,2006-11-15,US,Dancing with the Stars,0.008372247990287567,0.16666666666666666,0.030469311523840678,0.003933333333333333,0.16666666666666666,0.02362381096361136,0.004438914656954234
3,Jerry Springer,2006-09-12,2006-11-15,US,Dancing with the Stars,0.09316655465504677,0.3333333333333333,0.09197026753709997,0.41432595704948644,3.0,0.6261988019815655,-0.3211594023944397
3,Joey Lawrence,2006-09-12,2006-11-15,US,Dancing with the Stars,0.06654877297985089,0.2727272727272727,0.07445820123020966,0.031567755991285404,0.4,0.08468586252208901,0.03498101698856548
3,Mario Lopez,2006-09-12,2006-11-15,US,Dancing with the Stars,0.20070954683544337,1.0,0.14879910170554453,0.03164686665912156,0.2857142857142857,0.07057899926441226,0.1690626801763218
3,Monique Coleman,2006-09-12,2006-11-15,US,Dancing with the Stars,0.00549543655337782,0.04878048780487805,0.013171153625891246,0.011562580937580938,0.16363636363636364,0.03534557533105767,-0.006067144384203117
3,Sara Evans,2006-09-12,2006-11-15,US,Dancing with the Stars,0.45690234981204547,2.3333333333333335,0.5577794191590557,0.3285288847635662,1.0,0.3073319787645499,0.1283734650484793
3,Shanna Moakler,2006-09-12,2006-11-15,US,Dancing with the Stars,0.08628561950343672,0.6923076923076923,0.14432220543350754,0.36512920335837,4.875,0.7719389215868233,-0.2788435838549333
3,Tucker Carlson,2006-09-12,2006-11-15,US,Dancing with the Stars,0.014103123650634965,0.2,0.042229616074005064,0.0428114285405952,0.5,0.0974126584254176,-0.028708304889960234
3,Vivica A. Fox,2006-09-12,2006-11-15,US,Dancing with the Stars,0.0,0.0,0.0,0.009507575757575758,0.4,0.0572609891570781,-0.009507575757575758
3,Willa Ford,2006-09-12,2006-11-15,US,Dancing with the Stars,0.09481162069865427,0.3333333333333333,0.08957941820635021,0.015532206990540323,0.2857142857142857,0.0493502755135615,0.07927941370811395
4,Apolo Anton Ohno,2007-03-19,2007-05-22,US,Dancing with the Stars,0.015786545202780153,0.125,0.02561376029078579,0.0012138336347197107,0.0379746835443038,0.006352118084733786,0.014572711568060443
