season,celebrity_name,wiki_title,year,year_total,year_mean,year_peak,year_std,season_total,season_mean,season_peak,season_std,baseline_mean,lift,status
11,Margaret Cho,Margaret_Cho,2010,,,,,,,,,,,ok
11,Michael Bolton,Michael_Bolton,2010,,,,,,,,,,,ok
11,Rick Fox,Rick_Fox,2010,,,,,,,,,,,ok
11,The Situation,Sitcom,2010,,,,,,,,,,,ok
12,Chelsea Kane,Chelsea_Kane,2011,,,,,,,,,,,ok
12,Chris Jericho,Chris_Jericho,2011,,,,,,,,,,,ok
12,Hines Ward,Hines_Ward,2011,,,,,,,,,,,ok
12,Kendra Wilkinson,Kendra_Wilkinson,2011,,,,,,,,,,,ok
12,Kirstie Alley,Kirstie_Alley,2011,,,,,,,,,,,ok
12,Mike Catherwood,Michael_Catherwood,2011,,,,,,,,,,,ok
12,Petra Nemcova,Petra_Němcová,2011,,,,,,,,,,,ok
12,Ralph Macchio,Ralph_Macchio,2011,,,,,,,,,,,ok
12,Romeo,Romeo,2011,,,,,,,,,,,ok
12,Sugar Ray Leonard,Sugar_Ray_Leonard,2011,,,,,,,,,,,ok
12,Wendy Williams,Wendy_Williams,2011,,,,,,,,,,,ok
13,Carson Kressley,Carson_Kressley,2011,,,,,,,,,,,ok
13,Chaz Bono,Chaz_Bono,2011,,,,,,,,,,,ok
13,Chynna Phillips,Chynna_Phillips,2011,,,,,,,,,,,ok
13,David Arquette,David_Arquette,2011,,,,,,,,,,,ok
13,Elisabetta Canalis,Elisabetta_Canalis,2011,,,,,,,,,,,ok
13,Hope Solo,Hope_Solo,2011,,,,,,,,,,,ok
13,J.R. Martinez,J._R._Martinez,2011,,,,,,,,,,,ok
13,Kristin Cavallari,Kristin_Cavallari,2011,,,,,,,,,,,ok
13,Metta World Peace (Ron),Metta_Sandiford-Artest,2011,,,,,,,,,,,ok
13,Nancy Grace,Nancy_Grace,2011,,,,,,,,,,,ok
13,Ricki Lake,Ricki_Lake,2011,,,,,,,,,,,ok
13,Rob Kardashian,Rob_Kardashian,2011,,,,,,,,,,,ok
14,Donald Driver,Donald_Driver,2012,,,,,,,,,,,ok
14,Gavin DeGraw,Gavin_DeGraw,2012,,,,,,,,,,,ok
14,Gladys Knight,Gladys_Knight,2012,,,,,,,,,,,ok
14,Jack Wagner,Jack_Wagner_(actor),2012,,,,,,,,,,,ok
14,Jaleel White,Jaleel_White,2012,,,,,,,,,,,ok
14,Katherine Jenkins,Katherine_Jenkins,2012,,,,,,,,,,,ok
14,Maria Menounos,Maria_Menounos,2012,,,,,,,,,,,ok
14,Martina Navratilova,Martina_Navratilova,2012,,,,,,,,,,,ok
14,Melissa Gilbert,Melissa_Gilbert,2012,,,,,,,,,,,ok
14,Roshon Fegan,Roshon_Fegan,2012,,,,,,,,,,,ok
14,Sherri Sheperd,Shepherd_(name),2012,,,,,,,,,,,ok
14,William Levy,William_Levy_(actor),2012,,,,,,,,,,,ok
15,Apolo Anton Ohno,Apolo_Ohno,2012,,,,,,,,,,,ok
15,Bristol Palin,Bristol_Palin,2012,,,,,,,,,,,ok
15,Drew Lachey,Drew_Lachey,2012,,,,,,,,,,,ok
15,Emmitt Smith,Emmitt_Smith,2012,,,,,,,,,,,ok
15,Gilles Marini,Gilles_Marini,2012,,,,,,,,,,,ok
15,Helio Castroneves,Hélio_Castroneves,2012,,,,,,,,,,,ok
15,Joey Fatone,Joey_Fatone,2012,,,,,,,,,,,ok
15,Kelly Monaco,Kelly_Monaco,2012,,,,,,,,,,,ok
15,Kirstie Alley,Kirstie_Alley,2012,,,,,,,,,,,ok
15,Melissa Rycroft,Melissa_Rycroft,2012,,,,,,,,,,,ok
15,Pamela Anderson,Pamela_Anderson,2012,,,,,,,,,,,ok
15,Sabrina Bryan,Sabrina_Bryan,2012,,,,,,,,,,,ok
15,Shawn Johnson,Shawn_Johnson_East,2012,,,,,,,,,,,ok
16,Alexandra Raisman,Aly_Raisman,2013,,,,,,,,,,,ok
16,Andy Dick,Andy_Dick,2013,,,,,,,,,,,ok
16,D. L. Hughley,D._L._Hughley,2013,,,,,,,,,,,ok
16,Dorothy Hamill,Dorothy_Hamill,2013,,,,,,,,,,,ok
16,Ingo Rademacher,Ingo_Rademacher,2013,,,,,,,,,,,ok
16,Jacoby Jones,Jacoby_Jones,2013,,,,,,,,,,,ok
16,Kellie Pickler,Kellie_Pickler,2013,,,,,,,,,,,ok
16,Lisa Vanderpump,Lisa_Vanderpump,2013,,,,,,,,,,,ok
16,Sean Lowe,Sean_Lowe_(television_personality),2013,,,,,,,,,,,ok
16,Victor Ortiz,Victor_Ortiz,2013,,,,,,,,,,,ok
16,Wynonna Judd,Wynonna_Judd,2013,,,,,,,,,,,ok
16,Zendaya,Zendaya,2013,,,,,,,,,,,ok
17,Amber Riley,Amber_Riley,2013,,,,,,,,,,,ok
17,Bill Engvall,Bill_Engvall,2013,,,,,,,,,,,ok
17,Bill Nye,Bill_Nye,2013,,,,,,,,,,,ok
17,Brant Daugherty,Brant_Daugherty,2013,,,,,,,,,,,ok
17,Christina Milian,Christina_Milian,2013,,,,,,,,,,,ok
17,Corbin Bleu,Corbin_Bleu,2013,,,,,,,,,,,ok
17,Elizabeth Berkley Lauren,Elizabeth_Berkley,2013,,,,,,,,,,,ok
17,Jack Osbourne,Jack_Osbourne,2013,,,,,,,,,,,ok
17,Keyshawn Johnson,Keyshawn_Johnson,2013,,,,,,,,,,,ok
17,Leah Remini,Leah_Remini,2013,,,,,,,,,,,ok
17,"Nicole ""Snooki"" Polizzi",Snooki,2013,,,,,,,,,,,ok
17,Valerie Harper,Valerie_Harper,2013,,,,,,,,,,,ok
18,Amy Purdy,Amy_Purdy,2014,,,,,,,,,,,ok
18,Billy Dee Williams,Billy_Dee_Williams,2014,,,,,,,,,,,ok
18,Candace Cameron Bure,Candace_Cameron_Bure,2014,,,,,,,,,,,ok
18,Charlie White,Charlie_White_(figure_skater),2014,,,,,,,,,,,ok
18,Cody Simpson,Cody_Simpson,2014,,,,,,,,,,,ok
18,Danica McKellar,Danica_McKellar,2014,,,,,,,,,,,ok
